輕	軽
輛	輌
轀	輼
轉	転
轟	軣
辨	弁
辭	辞
辯	弁
遙	遥
遞	逓
遲	遅
邁	迈
邇	迩
邊	辺
鄉	郷
鄕	郷
酇	鄼
醉	酔
醞	醖
醫	医
醬	醤
醱	醗
釀	醸
釋	釈
銳	鋭
錄	録
錢	銭
鍊	錬
鐵	鉄
鐸	鈬
鑄	鋳
鑛	鉱
鑪	鈩
鑽	鑚
钂	鎲
閱	閲
關	関
附	付
陷	陥
隨	随
險	険
隯	陦
隱	隠
隸	隷
雙	双
雜	雑
雞	鶏
霸	覇
靈	霊
靜	静
靱	靭
頰	頬
頸	頚
顏	顔
顯	顕
餘	余
馱	駄
騷	騒
驅	駆
驒	騨
驗	験
驛	駅
髏	髅
髓	髄
體	体
髮	髪
鬥	闘
鬪	闘
鰮	鰛
鰺	鯵
鶫	鶇
鶯	鴬
鷄	鶏
鷗	鴎
鹼	鹸
鹽	塩
麥	麦
麩	麸
麴	麹
麵	麺
黃	黄
黑	黒
默	黙
點	点
黨	党
黲	黪
鼠	鼡
齊	斉
齋	斎
齒	歯
齡	齢
齧	噛
龍	竜
龜	亀
龝	穐
粵	粤
鄰	隣
勞動	労働
